Park Name,Park ID,Development Status,Amenities,Facilities,Trails,Amenities + Facilities,Attractions Sum
Mayfield House,204,Developed,11,8,0,19,19
Oertli Neighborhood Park,398,Undeveloped,0,0,0,0,0
Mayfield Nature Preserve,205,Developed,4,5,11,9,20
Meadows at Trinity Crossing Neighborhood Park,206,Developed,0,3,0,3,3
Oakwood Cemetery,394,Developed,0,1,0,1,1
Meadowview Triangle,380,Developed,5,3,8,8,16
North Acres Neighborhood Park,195,Undeveloped,2,0,0,2,2
Odom School Park,227,Developed,2,7,0,9,9
Little Stacy Neighborhood Park,194,Developed,13,14,0,27,27
Margaret Hoffman Oak Park,390,Developed,0,0,0,0,0
Little Walnut Creek District Park,196,Undeveloped,0,0,0,0,0
Old Bakery,228,Developed,0,2,0,2,2
Little Zilker Neighborhood Park,323,Developed,9,6,2,15,17
Mary Dawson Pocket Park,202,Undeveloped,0,0,0,0,0
Longhorn Shores at Town Lake Metro Park,297,Developed,3,2,5,5,10
Mary Frances Baylor Clarksville Pocket Park,138,Developed,3,5,0,8,8
Old Moore's Crossing Neighborhood Park,230,Undeveloped,0,0,0,0,0
Manuel and Robert Donley Pocket Park,328,Developed,2,1,0,3,3
Longview Neighborhood Park,197,Developed,3,6,4,9,13
Lott Pocket Park,198,Developed,3,6,0,9,9
Marble Creek Greenbelt,201,Undeveloped,0,0,0,0,0
Lower Bull Creek Greenbelt,127,Developed,5,14,13,19,32
Old San Antonio Greenbelt,374,Undeveloped,0,0,0,0,0
Lucy Read School Park,199,Developed,2,3,4,5,9
Mabel Davis District Park,200,Developed,1,10,2,11,13
Old San Antonio Park,391,Undeveloped,0,1,0,1,1
South Park Meadows Greenbelt,375,Undeveloped,0,1,0,1,1
Montopolis Neighborhood Park,209,Developed,13,13,0,26,26
Oswaldo A.B. Cantu/Pan-American Recreation Center,237,Developed,10,12,7,22,29
Montopolis Practice Fields,210,Developed,2,4,0,6,6
Morris Williams Golf Course,211,Developed,1,123,0,124,124
Palma Plaza Triangle Pocket Park,354,Undeveloped,0,0,0,0,0
Mountain View Neighborhood Park,214,Developed,27,12,0,39,39
Southland Oaks Neighborhood Park,275,Undeveloped,0,0,0,0,0
Murchison Pool,215,Developed,0,4,0,4,4
Parque Zaragoza Neighborhood Park,238,Developed,15,17,15,32,47
Nicholas Dawson Neighborhood Park,216,Developed,4,1,0,5,5
Patterson Neighborhood Park,239,Developed,18,11,12,29,41
Sparky Pocket Park,352,Developed,0,3,0,3,3
Payton Gin Pocket Park,382,Developed,0,0,1,0,1
Peace Point at Town Lake Metro Park,364,Developed,2,10,0,12,12
Springbrook Driving Range,276,Developed,0,2,0,2,2
Pease District Park,240,Developed,21,23,1,44,45
Pecan Springs School Park,241,Developed,4,3,0,7,7
Perry Neighborhood Park,242,Developed,4,10,0,14,14
Springdale Neighborhood Park,277,Developed,7,7,0,14,14
Pickfair Pocket Park,244,Developed,0,6,0,6,6
Springfield Neighborhood Park,278,Developed,0,0,4,0,4
North Austin Recreation Center/YMCA,355,Developed,0,2,0,2,2
North Cat Mountain Greenbelt,218,Undeveloped,0,0,0,0,0
Onion Creek Greenbelt,231,Developed,4,3,0,7,7
North Oaks Neighbohood Park,219,Developed,5,1,0,6,6
Pillow School Park,245,Developed,1,5,0,6,6
North Star Greenbelt,220,Developed,29,0,7,29,36
Onion Creek Soccer Complex,234,Developed,1,12,12,13,25
Northwest Balcones Neighborhood Park,222,Developed,15,14,16,29,45
Onion Creek Metro Park,232,Undeveloped,0,0,0,0,0
Northwest Recreation Center,223,Developed,5,8,0,13,13
Norwood Tract at Town Lake Metro Park,298,Developed,12,1,0,13,13
Onion Creek Wildlife Sanctuary,233,Undeveloped,0,0,0,0,0
Nuckols Crossing of Slaughter Creek Greenbelt,357,Undeveloped,0,0,0,0,0
Plummers Cemetery,396,Developed,0,0,0,0,0
Oak Springs School Park,224,Developed,2,3,0,5,5
Ortega School Park,235,Developed,3,4,3,7,10
Oakhill Neighborhood Park,225,Undeveloped,0,0,0,0,0
Piney Bend Neighborhood Park,346,Developed,0,0,0,0,0
Oakview Neighborhood Park,226,Developed,10,5,0,15,15
Oakwood Annex Cemetery,395,Developed,0,1,0,1,1
Roy G. Guerrero Colorado River Metro Park,260,Developed,56,107,26,163,189
Ponciana Neighborhood Park,248,Undeveloped,0,0,0,0,0
Quail Creek Neighborhood Park,249,Developed,21,2,7,23,30
Shipe Neighborhood Park,266,Developed,6,13,0,19,19
Ramsey Neighborhood Park,250,Developed,7,11,0,18,18
Red Bud Isle,251,Developed,10,8,0,18,18
Shoal Beach at Town Lake Metro Park,299,Developed,9,25,24,34,58
Reed Neighborhood Park,252,Developed,10,7,0,17,17
Springwoods Neighborhood Park,387,Developed,53,14,21,67,88
Shoal Creek Greenbelt,267,Developed,10,10,40,20,60
St. Edwards Greenbelt,279,Developed,1,7,2,8,10
Reilly School Park,254,Developed,1,4,0,5,5
Republic Square,255,Developed,5,3,5,8,13
Silk Oak Neighborhood Park,268,Developed,16,3,1,19,20
Riata Neighborhood Park,256,Developed,7,3,4,10,14
Ricky Guerrero Pocket Park,257,Developed,4,6,3,10,13
Sir Swante Palm Neighborhood Park,236,Developed,1,3,2,4,6
Ron Rigsby Pocket Park,258,Developed,3,0,0,3,3
Swede Hill Pocket Park,285,Undeveloped,0,0,0,0,0
Rosewood Neighborhood Park,259,Developed,20,23,9,43,52
Roy Kizer Golf Course,261,Developed,1,126,10,127,137
Ryan Planting Strip,383,Undeveloped,0,0,0,0,0
Symphony Square,286,Developed,0,3,1,3,4
Steck Valley Greenbelt,282,Undeveloped,0,0,0,0,0
Sanchez School Park,262,Developed,7,4,2,11,13
Schieffer Tract,263,Undeveloped,0,0,0,0,0
St. Elmo School Park,280,Developed,4,6,3,10,13
Scofield Farms Neighborhood Park,265,Developed,3,4,2,7,9
Waterloo Neighborhood Park,309,Developed,8,7,0,15,15
Seider Springs Greenbelt,366,Developed,7,2,0,9,9
St. John's Pocket Park,281,Developed,0,2,0,2,2
Sendera Mesa Neighborhood Park,325,Undeveloped,0,0,0,0,0
Shinoak Valley Greenbelt,384,Undeveloped,0,0,0,0,0
Slaughter Creek at Twin Oaks Greenbelt,356,Undeveloped,0,0,0,0,0
Wells Creek Greenbelt,310,Undeveloped,0,0,0,0,0
South Austin Island,271,Undeveloped,0,0,0,0,0
South Austin Neighborhood Park,270,Developed,17,7,4,24,28
Stillhouse Hollow Nature Preserve,284,Developed,2,2,1,4,5
South Austin Senior Activity Center,272,Developed,3,6,5,9,14
West Austin Neighborhood Park,311,Developed,11,10,1,21,22
South Austin Tennis Center,273,Developed,3,13,6,16,22
South Boggy Creek Greenbelt,274,Undeveloped,0,0,0,0,0
Stoney Ridge Neighborhood Park,229,Developed,4,3,4,7,11
Stephenson Nature Preserve & Outdoor Education Center,283,Developed,0,0,23,0,23
T.A. Brown School Park,287,Developed,0,3,1,3,4
Treaty Oak Square,301,Developed,2,0,0,2,2
Tanglewood Neighborhood Park,288,Developed,13,14,0,27,27
West Bouldin Creek Greenbelt,312,Developed,1,1,2,2,4
Tannehill Creek Greenbelt,401,Undeveloped,0,0,0,0,0
Triangle Commons Neighborhood Park,365,Developed,23,3,17,26,43
Tarrytown Neighborhood Park,289,Developed,8,8,3,16,19
The Circle ROW Greenbelt,360,Developed,0,0,0,0,0
Tom Lasseter-South Lamar Neighborhood Park,373,Undeveloped,9,5,0,14,14
Trailhead Neighborhood Park,378,Developed,19,8,0,27,27
Williamson Creek Central Greenbelt,315,Undeveloped,0,0,0,0,0
Williamson Creek East Greenbelt,316,Undeveloped,0,0,0,0,0
Umlauf Sculpture Garden,302,Developed,0,4,9,4,13
Westcreek Pocket Park,409,Undeveloped,0,0,0,0,0
Upper Bull Creek Greenbelt,129,Developed,6,2,5,8,13
Zilker Nature Preserve,371,Developed,13,34,1,47,48
Veterans Pocket Park,372,Undeveloped,0,0,0,0,0
Westenfield Neighborhood Park,313,Developed,9,12,4,21,25
Vic Mathias Shores at Town Lake Metro Park,410,Developed,0,1,0,1,1
Waller Beach at Town Lake Metro Park,300,Developed,6,34,17,40,57
Williams School Park,314,Developed,0,2,1,2,3
Stratford Overlook Greenbelt,412,Undeveloped,0,0,0,0,0
Highland Neighborhood Park,413,Developed,0,0,0,0,0
Waller Creek Greenbelt,304,Developed,1,4,9,5,14
Zilker Metro Park,324,Developed,96,158,24,254,278
Walnut Creek Greenbelt,305,Undeveloped,8,1,9,9,18
Gilbert-Davis Tract,411,Undeveloped,0,0,0,0,0
Walnut Creek Metro Park,306,Developed,20,23,48,43,91
Walnut Creek Sports Park,350,Developed,19,30,0,49,49
Walsh Boat Landing,307,Developed,3,9,0,12,12
Walter E. Long Metro Park,308,Developed,56,37,0,93,93
Williamson Creek West Greenbelt,317,Undeveloped,0,0,0,0,0
Wooldridge School Park,318,Developed,1,5,1,6,7
Wooldridge Square,319,Developed,2,8,1,10,11
Wooten Neighborhood Park,320,Developed,10,4,3,14,17
Wunneburger Park,402,Undeveloped,0,0,0,0,0
Yates Pocket Park,321,Undeveloped,0,0,0,0,0
Yett Creek Neighborhood Park,322,Developed,2,0,0,2,2
Janet Long Fish Park,414,Undeveloped,0,0,0,0,0
